true	predicted
Эффект бабочки (фильм)	Фанатик (фильм, 2000)
Эффект бабочки 3: Откровения	Фанатик (фильм, 2000)
Внутри моей памяти	Фанатик (фильм, 2000)
Эффект бабочки 2	Плезантвиль (фильм)
Эффект бабочки (фильм)	Плезантвиль (фильм)
Эффект бабочки 3: Откровения	Плезантвиль (фильм)
Внутри моей памяти	Плезантвиль (фильм)
Эффект бабочки 2	Городской ковбой
Эффект бабочки (фильм)	Городской ковбой
Эффект бабочки 3: Откровения	Городской ковбой
Внутри моей памяти	Городской ковбой
Эффект бабочки 2	Я люблю тебя (фильм, 1986)
Эффект бабочки (фильм)	Я люблю тебя (фильм, 1986)
Эффект бабочки 3: Откровения	Я люблю тебя (фильм, 1986)
Внутри моей памяти	Я люблю тебя (фильм, 1986)
Эффект бабочки 2	Дом с паранормальными явлениями 2
Эффект бабочки (фильм)	Дом с паранормальными явлениями 2
Эффект бабочки 3: Откровения	Дом с паранормальными явлениями 2
Внутри моей памяти	Дом с паранормальными явлениями 2
Эффект бабочки 2	Раскаты грома (фильм)
Эффект бабочки (фильм)	Раскаты грома (фильм)
Эффект бабочки 3: Откровения	Раскаты грома (фильм)
Внутри моей памяти	Раскаты грома (фильм)
Эффект бабочки 2	Живёт такой парень
Эффект бабочки (фильм)	Живёт такой парень
Эффект бабочки 3: Откровения	Живёт такой парень
Внутри моей памяти	Живёт такой парень
Эффект бабочки 2	Таксист (фильм, 1976)
Эффект бабочки (фильм)	Таксист (фильм, 1976)
Эффект бабочки 3: Откровения	Таксист (фильм, 1976)
Внутри моей памяти	Таксист (фильм, 1976)
Плохой парень (фильм, 2001)	Гражданка Рут
Плохой парень (фильм, 2001)	Мужики за работой
